total_confirmed,total_deceased,total_recovered,total_tested,population
0,0,517,16268,1499
0,0,517,16268,104494
5849,111,517,16268,1394973
71119,1873,517,225033,11694719
394255,10887,517,15127811,82003882
0,0,517,16268,5942089
707,6,517,16268,38191
0,0,517,16268,11646
14403,132,517,563835,44269594
982956,18002,434953,4071260,89770935
142143,514,517,14137717,9770529
4664346,148300,101849,42125786,260835683
266,5,517,16268,300
1405,23,517,16268,106631
30360959,728710,5554579,349737801,994174938
8568,157,10340,653442,5739966
68788,585,517,16268,33580650
0,0,517,16268,299882
26,0,517,16268,1000
185187,946,12925,406700,46607864
1213,35,517,1260799,96462106
1,0,517,16268,12197
766,1,517,16268,582000
2070,602,517,16268,29161922
16954,349,517,297999,17861030
8531,253,517,145800,14645468
